data_cad,cpf_beneficiario,datahora_inicio,datahora_fim,atestado_em,dias_ausentes,hora_inicial,hora_final,origem_atestado,outros_tipos_origem,crm_medico,uf_crm,situacao_crm,especialidade_medico,data_atualizacao_crm,nome_local,cidade_local,uf_local,descricao_cid,motivacao,tipo_motivacao,declaracao_de_comparecimento,data_entrega,setor,departamento,centro_de_custo
2023-10-11 01:41:26,876.950.432-65,2023-01-07 23:52:35,2023-05-09 17:07:11,Dias,8,02:24:38,19:50:32,Hospital,,65138,AC,A,Hematologia,2023-06-09,Fogaça Ribeiro S.A.,das Neves do Sul,DF,A01,Consultas,Hematologia,Sim,2023-04-28,ATENDIMENTO,Medico,Interno
2020-08-10 00:46:17,254.789.601-01,2023-08-05 19:47:20,2023-11-17 08:48:31,Horas,4,12:11:23,12:02:23,Ambulatorio,,52171,ES,A,Pneumologia,2023-08-16,Azevedo,Carvalho,RS,D04,Consultas,Pneumologia,Sim,2023-05-26,COBRANCA,Pesquisa,Interno
2023-07-16 01:34:09,347.965.201-80,2023-10-30 05:06:32,2023-08-30 20:41:56,Dias,9,07:43:56,21:47:46,Convenio Saude,,62285,PI,A,Oftalmologia,2023-09-12,das Neves Aragão S/A,Novaes de Aragão,TO,D04,Consultas,Oftalmologia,Sim,2023-10-27,COBRANCA,Pesquisa,Interno
2021-07-20 21:16:49,340.918.675-10,2023-10-16 23:34:15,2023-08-17 13:27:49,Horas,8,22:31:44,14:32:05,Clinica Particular,,49201,PA,C,Psiquiatria,2023-05-02,Cardoso,Peixoto,AC,C03,Consultas,Psiquiatria,Sim,2023-07-28,COBRANCA,Comercial,Interno
2020-06-29 20:22:59,910.647.583-39,2023-02-25 19:17:47,2023-04-10 21:28:11,Horas,4,09:04:16,23:49:30,Laboratorio,,79982,PB,A,Pediatria,2023-06-17,Freitas,Almeida,RJ,D04,Consultas,Pediatria,Sim,2023-09-19,LABORATORIO,Pesquisa,Externo
2023-02-11 00:38:18,542.039.718-88,2023-01-29 04:30:18,2023-02-10 11:45:01,Horas,6,18:46:45,13:58:48,Ambulatorio,,61904,AC,E,Urologia,2023-08-05,da Cruz,Duarte,RJ,C03,Consultas,Urologia,Nao,2023-10-20,COBRANCA,Comercial,Interno
2023-03-18 10:07:20,258.694.370-83,2023-09-03 22:17:36,2023-01-16 06:44:46,Horas,9,01:34:46,13:33:39,Posto de Saude,,13414,MT,B,Ortopedia,2023-10-31,das Neves,Gomes,PI,E05,Consultas,Ortopedia,Nao,2023-04-15,ATENDIMENTO,Comercial,Interno
2020-07-14 13:04:29,864.715.209-30,2023-03-06 23:38:11,2023-10-18 11:35:30,Horas,8,13:38:12,00:34:14,Hospital,,23624,AM,B,Oftalmologia,2023-08-27,Caldeira,Barros,MS,D04,Consultas,Oftalmologia,Nao,2023-04-19,ATENDIMENTO,Pesquisa,Interno
2020-04-16 05:11:22,857.496.213-91,2023-07-07 19:54:54,2023-05-16 11:51:01,Dias,2,19:08:56,17:55:28,Convenio Saude,,79844,PA,B,Ginecologia,2023-01-17,Mendes Silva S/A,Pinto,AL,A01,Consultas,Ginecologia,Sim,2023-10-18,LABORATORIO,Medico,Interno
2020-08-28 19:17:31,627.498.130-69,2023-01-29 03:45:34,2023-02-18 10:16:27,Dias,9,04:11:32,23:23:24,Clinica Particular,,64214,PE,B,Ginecologia,2023-05-13,Fogaça da Paz e Filhos,Duarte,RS,E05,Consultas,Ginecologia,Nao,2023-02-21,LABORATORIO,Pesquisa,Externo
